IDfg,Season,Age,G,PA
14813,2021,30,147,529
5933,2022,32,98,387
13301,2022,31,136,565
9874,2021,32,150,679
12325,2022,32,113,328
14712,2021,26,125,464
9166,2019,32,114,445
22715,2023,23,123,515
15491,2022,27,145,603
19918,2023,26,158,581
5343,2022,35,118,458
7304,2020,30,37,156
15351,2021,29,64,259
7859,2019,32,140,634
1177,2022,42,109,351
12564,2020,27,59,259
17919,2020,25,57,231
20503,2022,24,97,376
9368,2021,35,81,291
25961,2023,25,118,459
19508,2020,24,58,242
11205,2019,30,151,656
19238,2023,29,145,592
9368,2019,33,129,508
20454,2023,25,97,383
18042,2022,29,104,255
10071,2021,30,142,505
17022,2021,25,113,326
18887,2022,28,61,205
13675,2022,28,120,405
11489,2023,32,129,388
8709,2019,30,147,648
27647,2023,22,159,601
18577,2020,23,24,95
10264,2020,32,51,179
23565,2023,24,35,141
2434,2020,39,53,214
14854,2020,29,54,225
11579,2020,27,58,244
7739,2020,31,44,184
19197,2019,24,54,196
12856,2020,30,51,222
16472,2021,28,107,443
21853,2023,25,108,329
14221,2023,31,137,580
18882,2019,24,82,327
11739,2020,29,47,195
15676,2019,32,159,693
2434,2021,40,140,584
18036,2020,26,54,192
26323,2023,25,156,665
18126,2021,27,109,381
5760,2019,28,125,530
12858,2019,28,136,458
18126,2023,29,135,519
12859,2019,29,118,476
16535,2023,28,86,301
4962,2019,33,131,514
5827,2021,29,139,436
19997,2021,26,92,246
21840,2023,28,70,235
17027,2021,25,146,604
2967,2023,35,129,481
19566,2021,25,157,642
18839,2022,25,122,498
19363,2021,25,131,529
10556,2020,30,58,261
15518,2019,23,157,655
18314,2019,25,127,545
12984,2019,29,147,567
13613,2022,28,137,558
6153,2022,33,136,542
17929,2023,28,116,455
9774,2022,31,119,426
7802,2021,32,132,539
14162,2023,28,135,580
7007,2019,36,113,452
26668,2023,21,98,427
20126,2022,23,128,488
18577,2021,24,96,396
12979,2022,29,144,590
16376,2020,27,54,233
13621,2020,26,52,206
18568,2019,22,92,366
18345,2020,23,58,228
12371,2019,30,80,321
15941,2020,30,48,184
19956,2023,25,85,323
17988,2021,24,132,402
9785,2020,32,60,248
19238,2021,27,141,541
785,2019,33,133,499
30116,2022,27,111,446
17719,2021,27,107,297
17128,2021,26,88,378
19918,2021,24,95,315
19734,2021,27,139,550
13152,2022,28,104,445
12916,2020,26,60,266
13066,2023,30,160,678
12856,2023,33,154,683
2829,2021,34,75,208
20454,2021,23,124,507
10231,2019,29,146,530
16530,2023,28,132,492
10231,2021,31,137,511
10028,2022,30,101,333
16451,2022,27,102,335
5038,2022,36,132,546
11489,2022,31,124,456
23401,2023,26,104,280
16535,2019,24,107,384
18564,2022,25,152,524
17452,2022,26,104,325
9549,2019,36,79,186
14366,2022,30,56,240
12927,2020,27,55,225
19238,2019,25,84,343
17484,2022,25,84,327
5223,2019,32,82,269
22514,2023,23,132,502
14566,2021,25,115,466
13757,2020,29,56,214
14593,2019,26,127,356
19858,2023,26,126,445
11442,2023,30,75,267
18373,2023,26,115,470
15464,2019,27,140,494
14854,2023,32,106,381
11680,2021,30,106,371
22168,2021,22,124,461
11609,2020,28,57,225
11445,2023,34,139,507
13620,2021,26,98,359
18171,2022,29,150,555
16337,2022,26,138,443
10556,2019,29,161,667
16578,2021,29,134,541
17907,2022,25,137,581
2136,2022,34,134,490
18373,2022,25,145,609
19858,2022,25,127,511
19363,2022,26,145,582
21558,2023,26,134,530
14712,2019,24,151,441
13757,2022,31,118,454
18564,2023,26,153,555
5517,2022,32,83,248
8709,2021,32,146,541
10231,2020,30,39,150
26466,2023,25,76,254
13744,2019,25,100,413
12161,2020,27,56,225
4940,2020,30,50,181
19755,2019,24,106,425
17027,2020,24,53,221
10323,2021,30,103,330
19352,2020,25,43,140
18289,2020,27,59,229
2136,2019,31,99,423
5343,2020,33,54,193
15998,2020,24,56,243
11368,2020,31,46,194
9810,2019,32,135,482
15487,2019,24,69,292
11281,2020,31,60,265
12037,2019,29,73,287
15112,2023,28,152,627
18819,2023,30,114,383
19238,2022,28,121,493
5933,2019,29,144,618
21897,2022,23,113,425
15274,2023,32,108,401
18568,2021,24,121,479
2136,2021,33,150,538
8090,2019,33,129,492
14813,2022,31,145,583
14854,2022,31,148,558
8202,2022,34,119,425
12144,2022,29,115,446
16512,2022,27,142,531
8252,2019,36,83,316
17484,2020,23,55,226
15482,2019,25,56,225
17988,2022,25,50,183
5827,2019,27,89,285
10950,2023,34,92,353
5254,2020,30,51,192
5452,2019,28,127,487
21897,2023,24,107,429
16578,2019,27,79,347
8623,2019,31,81,228
12984,2020,30,55,217
14387,2023,28,122,434
16442,2023,29,112,368
11265,2020,28,44,177
11445,2020,31,59,243
20970,2022,24,91,382
24679,2023,26,95,371
25807,2023,25,54,209
9847,2021,34,144,574
19913,2023,25,125,402
7476,2019,32,63,201
16535,2021,26,70,205
15672,2021,26,142,591
24336,2023,22,59,164
16572,2023,30,133,472
17919,2021,26,148,535
21479,2021,24,44,170
2396,2023,37,146,619
21523,2023,26,119,529
7739,2019,30,103,391
16153,2021,28,129,306
18054,2022,28,83,201
5497,2019,30,114,463
16376,2021,28,125,479
9077,2021,35,78,286
12147,2020,30,57,217
14813,2023,32,120,369
15937,2021,30,84,319
5913,2021,30,126,474
24064,2023,21,153,615
10556,2021,31,149,637
10200,2021,30,116,388
18030,2019,25,128,406
19610,2022,23,112,433
16512,2021,26,158,677
7007,2021,38,121,473
15674,2021,26,78,217
15998,2022,26,144,550
18030,2022,28,86,313
14894,2022,30,147,558
12147,2021,31,129,473
15653,2020,25,50,199
14811,2020,29,56,234
19612,2019,21,46,212
13066,2020,27,50,207
15983,2020,25,39,160
12859,2020,30,31,111
3269,2020,37,49,182
7802,2020,31,40,143
11200,2020,32,54,228
5235,2020,35,42,175
14811,2019,28,118,510
15362,2020,28,52,209
27676,2022,24,72,298
15082,2021,29,39,140
25878,2022,21,32,115
3174,2019,36,151,660
15937,2019,28,69,247
13359,2021,30,127,454
19252,2020,25,59,265
14130,2022,29,130,461
13359,2019,28,89,294
15279,2019,28,107,421
6184,2022,34,139,596
13152,2023,29,80,343
9368,2022,36,89,298
17901,2021,26,134,538
21618,2023,26,145,611
27465,2023,23,159,684
17548,2023,29,97,409
20538,2022,24,125,483
8623,2021,33,101,344
22558,2023,23,105,416
17027,2023,27,142,602
6310,2021,34,75,349
21711,2022,23,87,361
21707,2022,23,44,171
20043,2020,22,56,227
11477,2021,29,117,475
9134,2019,33,85,310
11476,2021,29,124,492
21618,2022,25,152,631
5827,2022,30,151,602
13723,2019,29,71,210
16997,2021,24,127,516
9077,2019,33,148,623
13324,2022,30,63,222
5517,2023,33,92,260
20202,2022,24,134,461
15674,2022,27,89,274
15491,2020,25,53,232
16221,2021,28,99,348
11442,2022,29,128,471
14968,2022,28,96,314
13608,2019,26,134,566
13755,2022,28,98,313
17620,2022,27,152,596
12976,2019,26,102,347
19683,2020,26,37,98
13590,2020,26,54,183
10762,2019,30,78,279
14551,2020,25,37,165
19238,2020,26,57,224
21618,2020,23,44,180
3353,2019,34,129,238
18042,2020,27,38,159
14161,2020,26,39,135
16219,2021,28,73,211
12371,2020,31,55,228
17992,2020,26,49,230
9774,2020,29,47,189
17678,2020,26,42,180
19273,2023,27,89,271
19611,2023,24,156,682
11737,2023,31,157,671
11342,2021,31,131,510
12927,2019,26,69,254
13675,2021,27,93,271
13066,2019,26,125,464
9847,2023,36,112,473
20521,2021,24,54,215
9241,2020,31,61,250
5933,2020,30,54,217
15279,2022,31,119,469
14387,2022,27,120,435
13757,2023,32,117,384
2829,2019,32,76,179
10681,2021,29,116,442
9874,2023,34,136,562
7802,2019,30,132,526
13769,2020,24,59,233
12158,2022,32,62,212
19890,2022,26,102,359
14712,2022,27,89,363
15711,2022,27,96,383
11281,2023,34,145,592
21538,2022,25,72,240
5913,2019,28,140,618
17696,2022,28,78,309
11038,2020,30,49,159
11281,2022,33,139,550
19252,2022,27,97,303
12282,2021,27,102,361
21780,2023,24,132,497
26294,2022,24,127,466
17022,2022,26,78,190
13338,2022,30,84,296
27790,2023,20,23,75
12649,2020,30,52,170
17338,2020,23,36,140
10059,2020,29,31,105
9256,2020,32,55,210
15674,2019,24,30,105
10681,2020,28,43,174
14566,2019,23,150,548
15986,2020,24,54,205
16426,2021,25,52,132
13338,2019,27,132,482
12155,2019,27,137,590
8722,2021,34,66,179
17907,2021,24,102,415
14968,2019,25,95,279
12546,2022,32,150,632
12546,2019,29,125,499
14274,2019,28,63,283
19779,2023,30,69,138
17901,2019,24,138,615
9345,2019,31,87,295
23733,2023,24,122,439
8623,2023,35,134,450
4949,2022,32,110,452
16219,2022,29,115,365
12155,2023,31,142,516
18171,2021,28,111,307
13836,2021,30,97,322
16403,2021,25,84,277
19950,2020,21,49,132
11442,2021,28,117,440
15941,2021,31,56,194
10047,2022,31,77,286
22244,2022,23,106,372
10231,2022,32,118,467
16939,2022,26,146,548
20308,2023,27,112,341
18015,2021,27,113,402
24618,2021,24,85,293
8709,2023,34,112,406
15223,2022,30,156,602
7802,2022,33,140,507
11265,2022,30,131,510
19197,2020,25,37,137
17919,2019,24,58,156
12775,2019,29,79,170
22217,2023,24,49,174
4106,2020,33,46,187
9847,2019,32,59,262
5827,2020,28,55,213
17484,2019,22,122,504
16505,2020,27,37,152
14477,2019,26,72,228
5235,2023,38,146,626
15941,2019,29,79,267
4106,2022,35,64,277
19260,2023,28,111,380
12552,2020,28,57,231
12179,2020,27,60,243
13853,2020,30,50,184
18795,2021,27,85,296
1433,2019,31,141,524
8722,2019,32,79,275
20308,2021,25,49,163
12144,2020,27,48,196
5452,2021,30,83,305
18819,2021,28,76,272
14111,2022,29,110,351
14111,2021,28,98,381
12180,2019,26,130,465
3269,2019,36,107,423
17027,2022,26,152,644
17232,2023,28,92,357
5452,2022,31,113,419
13602,2022,30,134,534
19260,2021,26,78,265
14968,2023,29,62,226
14162,2020,25,58,221
17128,2020,25,54,222
17982,2023,28,158,665
29622,2023,23,57,223
13768,2023,32,107,287
31347,2023,22,84,329
15491,2019,24,93,396
15362,2021,29,120,426
19294,2021,26,127,511
12532,2020,29,53,208
18900,2022,23,99,341
19806,2023,28,70,187
20521,2023,26,92,294
21614,2023,26,91,313
13853,2022,32,101,371
19339,2023,28,94,262
18042,2021,28,126,377
16153,2020,27,31,104
10950,2019,30,41,130
13770,2022,31,57,177
10950,2020,31,57,209
5409,2019,32,108,296
14738,2019,26,94,260
27475,2023,21,117,465
14130,2019,26,144,558
18030,2020,26,50,125
15679,2022,27,153,599
15149,2021,29,147,616
3473,2020,30,58,243
11241,2019,31,75,213
5491,2019,30,73,240
6547,2019,32,74,271
12155,2021,29,111,412
10243,2019,27,151,628
5297,2023,33,93,312
13185,2020,25,59,189
2967,2021,33,155,561
9627,2023,35,116,419
13769,2021,25,35,136
17620,2019,24,56,128
17022,2023,27,104,300
10951,2019,29,134,372
18289,2021,28,67,264
27815,2023,24,68,228
13675,2023,29,81,243
10815,2019,26,139,518
6609,2021,31,104,394
10200,2019,28,114,364
16556,2022,25,64,269
13723,2020,30,42,143
11339,2019,28,120,318
16512,2020,25,58,228
14106,2019,25,82,241
19955,2021,23,102,381
19470,2020,25,55,227
17128,2023,28,105,404
19921,2023,26,67,168
4616,2019,36,83,249
9774,2021,30,138,498
19392,2023,28,148,518
12092,2021,29,90,325
11038,2022,32,63,221
27690,2023,24,132,410
5297,2022,32,130,453
19734,2023,29,105,350
18030,2023,29,98,344
12976,2023,30,82,212
17932,2020,26,15,47
21270,2022,26,27,97
15585,2019,26,50,163
3086,2020,34,42,152
15640,2020,28,28,114
1943,2019,35,36,56
16451,2020,25,30,68
14818,2020,28,30,108
16572,2021,28,63,211
5038,2020,34,28,102
19612,2020,22,29,128
10816,2020,31,43,135
17982,2020,25,43,155
3086,2019,33,91,335
8623,2020,32,54,203
16478,2023,30,160,720
15082,2020,28,36,93
19913,2021,23,64,251
19452,2021,26,38,127
24782,2022,25,52,181
11477,2020,28,58,247
14553,2019,24,116,469
19600,2021,24,58,219
15112,2019,24,141,539
12164,2021,28,135,532
2136,2020,32,54,218
10815,2020,27,56,202
17548,2021,27,65,237
16434,2021,26,57,181
17321,2019,23,95,382
16939,2021,25,77,264
25505,2023,26,34,100
4922,2019,28,65,230
14818,2019,27,88,333
10047,2019,28,155,490
14274,2022,31,57,247
4810,2019,35,85,316
