IDfg,Season,Age,G,PA,TBF
1008712,1995,26,116,425,
1009960,1996,33,119,440,
55,1997,29,152,631,
1001120,1997,30,97,275,
1004427,1996,34,128,487,
1007516,1993,27,151,569,
1009660,1997,25,78,266,
1251,1997,27,133,579,
1012939,1995,34,134,547,
1427,1996,28,145,576,
303,1997,24,49,215,
716,1995,28,120,424,
175,1994,25,103,469,
293,1995,31,144,604,
132,1996,26,145,640,
1006815,1993,28,78,343,
942,1993,30,85,253,
1003719,1993,34,153,394,
860,1995,27,130,577,
1093,1995,26,135,581,
826,1996,22,157,654,
1012059,1993,34,116,420,
1005935,1997,32,99,384,
1395,1995,28,100,208,
1001355,1995,28,122,384,
1393,1997,30,98,420,
1067,1995,26,138,571,
194,1996,37,148,602,
256,1994,24,97,331,
1000749,1997,25,132,510,
1006372,1994,30,109,480,
1130,1994,29,101,369,
1006372,1995,31,130,504,
857,1993,24,139,628,
1002898,1993,24,152,671,
1004422,1997,38,148,554,
1008686,1997,29,153,639,
226,1993,23,153,607,
281,1996,23,147,587,
1001986,1993,25,142,613,
226,1994,24,108,423,
1041,1995,24,107,381,
1010770,1997,34,90,298,
32,1994,25,100,435,
1010557,1995,35,137,602,
1012416,1996,33,121,473,
1013846,1994,37,92,372,
1009433,1997,30,70,301,
1010388,1993,24,138,536,
990,1997,26,130,451,
205,1996,27,151,645,
1004422,1996,37,141,574,
1004422,1994,35,90,352,
1389,1995,31,87,246,
1013862,1994,31,100,435,
856,1996,24,88,359,
385,1996,27,157,688,
1007334,1996,28,159,705,
1004002,1997,35,120,442,
1000273,1993,25,145,540,
281,1997,24,126,478,
1012596,1993,29,145,542,
1013748,1993,29,158,591,
129,1995,29,126,478,
577,1997,29,151,630,
482,1995,26,36,145,
1384,1997,29,133,410,
1003554,1996,33,109,417,
1001913,1995,32,90,256,
789,1995,25,112,434,
1011756,1995,28,80,304,
1006637,1995,33,131,550,
1004026,1994,30,109,481,
860,1994,26,107,455,
221,1994,28,80,320,
457,1994,28,113,477,
1000910,1993,27,122,351,
1008261,1994,33,97,436,
175,1995,26,135,600,
1002018,1993,33,155,669,
261,1996,29,143,598,
103,1996,25,138,526,
1002600,1994,26,104,406,
1001124,1997,39,104,407,
700,1996,24,82,304,
1003010,1995,33,98,404,
230,1996,24,156,639,
131,1993,27,162,658,
770,1997,25,140,609,
1009685,1996,36,109,375,
1004422,1993,34,102,369,
1007961,1993,30,137,544,
48,1996,30,151,598,
652,1997,30,144,622,
1004458,1994,33,89,357,
1006381,1996,27,122,418,
1013593,1995,29,102,188,
32,1996,27,156,681,
1129,1997,29,86,358,
103,1995,24,100,352,
1007961,1995,32,127,422,
169,1995,28,130,511,
1000802,1997,30,161,701,
1296,1997,23,104,442,
1005015,1997,25,151,578,
1007961,1997,34,128,328,
385,1994,25,114,528,
1005820,1995,30,132,539,
1002318,1993,29,132,567,
1006482,1997,33,111,454,
1009386,1993,37,154,659,
1010300,1997,38,141,648,
713,1993,25,80,316,
584,1995,29,132,511,
1008712,1997,28,134,483,
1001062,1994,28,96,434,
1006812,1993,25,127,451,
226,1996,26,129,531,
1012186,1994,39,98,433,
1009685,1997,37,69,267,
1000946,1995,31,139,612,
1013446,1993,27,64,177,
409,1994,23,98,369,
1006379,1994,26,103,447,
1297,1997,25,153,595,
1314,1994,23,112,454,
1002303,1993,25,102,256,
1009924,1994,33,82,321,
1009480,1993,27,123,482,
1130,1995,30,81,296,
1000801,1995,26,112,499,
482,1993,24,148,585,
1376,1996,28,127,396,
1002318,1996,32,117,512,
1011501,1995,29,80,261,
1001088,1995,30,134,498,
687,1997,26,118,434,
1008160,1995,30,119,349,
942,1996,33,136,611,
854,1997,29,54,220,
56,1994,30,106,454,
1406,1994,34,101,453,
83,1996,26,127,499,
1000013,1995,26,120,468,
205,1995,26,119,511,
51,1995,25,138,560,
1000524,1994,26,107,406,
1119,1996,28,128,477,
1001772,1993,36,156,716,
614,1997,29,85,282,
194,1997,38,120,509,
1010157,1993,32,161,682,
1011756,1996,29,129,499,
117,1993,28,148,599,
577,1993,25,151,617,
1007334,1995,27,127,502,
1390,1994,33,103,449,
372,1997,32,119,478,
1012416,1997,34,125,415,
1007590,1994,30,75,293,
1006347,1993,30,73,182,
818,1997,26,142,588,
1012125,1993,29,111,343,
789,1997,27,146,545,
1010144,1994,27,83,248,
1003619,1996,33,40,164,
87,1993,34,144,607,
1004378,1997,30,127,442,
55,1994,26,112,450,
1004822,1996,30,136,427,
51,1996,26,141,556,
1005621,1993,27,91,255,
1009433,1994,27,80,339,
1013748,1997,33,121,469,
482,1997,28,143,592,
1011438,1997,29,130,440,
1006379,1996,28,104,446,
1013960,1996,29,136,489,
131,1997,31,151,466,
1010144,1993,26,74,289,
1011415,1994,26,92,414,
1588,1996,24,127,414,
1000524,1993,25,99,424,
1002898,1994,25,114,506,
1003242,1993,30,131,577,
1014396,1993,37,127,514,
1004427,1995,33,120,482,
1007516,1995,29,116,453,
523,1996,24,120,435,
411,1993,26,158,630,
1006039,1995,28,24,77,
1000645,1994,35,82,235,
1297,1996,24,138,563,
1005820,1996,31,98,421,
1006637,1994,32,97,417,
1000434,1997,38,137,510,
1167,1994,26,82,313,
867,1993,24,86,306,
1073,1995,25,125,384,
1003076,1997,27,119,455,
1002607,1997,32,149,649,
1006379,1995,27,114,521,
1249,1995,24,79,331,
1004002,1994,32,104,422,
457,1993,27,157,647,
1002898,1995,26,144,670,
457,1996,30,163,704,
1009993,1995,33,81,292,
1011023,1994,30,105,449,
959,1997,25,134,510,
1206,1996,28,119,444,
1009960,1994,31,70,266,
1010978,1997,36,162,686,
1013886,1995,28,92,362,
185,1997,23,146,524,
716,1993,26,144,565,
577,1996,28,144,593,
653,1997,27,156,688,
1389,1993,29,109,283,
213,1993,25,105,373,
1008559,1993,29,27,107,
1006928,1994,33,105,346,
1251,1995,25,90,374,
1000946,1994,30,116,509,
210,1994,22,91,336,
1007677,1995,29,99,213,
1067,1994,25,108,424,
1012384,1996,26,130,469,
1302,1997,30,96,334,
1004026,1996,32,160,688,
778,1997,22,90,354,
1233,1994,28,95,423,
1007184,1994,33,75,301,
1007905,1994,30,92,370,
295,1996,25,55,228,
1002126,1993,27,96,306,
651,1997,24,135,471,
1167,1996,28,155,694,
261,1995,28,93,386,
235,1997,25,104,221,
659,1997,29,162,700,
1013999,1997,28,76,241,
1427,1997,29,132,523,
1003758,1996,31,157,596,
1011415,1993,25,95,294,
1008293,1995,26,110,348,
169,1993,26,146,519,
1834,1995,29,102,370,
1000205,1996,34,118,369,
284,1994,25,91,323,
1008513,1993,34,130,519,
562,1995,24,78,349,
584,1993,27,115,421,
1011023,1997,33,120,468,
1001913,1996,33,108,313,
956,1997,26,146,510,
1013748,1995,31,137,537,
256,1997,27,136,546,
1009987,1993,27,82,266,
1010771,1994,31,108,465,
1007334,1994,26,106,435,
275,1994,25,89,376,
1005125,1993,29,134,486,
1382,1996,26,135,558,
1007516,1996,30,135,562,
990,1996,25,51,143,
1013625,1997,32,71,192,
1041,1994,23,92,276,
1012939,1994,33,107,444,
1006145,1994,30,80,237,
1005220,1993,28,69,213,
1041,1997,26,143,525,
464,1993,23,73,264,
1009601,1997,27,156,629,
293,1997,33,152,641,
1000114,1993,32,95,292,
1006539,1995,29,79,201,
124,1996,22,74,260,
1252,1995,26,131,478,
1012596,1997,33,118,372,
1011357,1993,31,148,611,
1013554,1995,37,97,362,
205,1997,28,106,471,
1000611,1997,30,57,209,
1381,1995,24,129,418,
1007928,1993,29,128,553,
1005486,1993,32,136,562,
1012549,1996,26,119,452,
1114,1995,26,133,537,
1012356,1993,25,150,596,
652,1995,28,139,606,
1012549,1997,27,149,560,
37,1997,24,147,590,
1013625,1994,29,102,427,
411,1995,28,136,622,
205,1993,24,158,696,
1001464,1994,24,39,138,
1403,1993,24,84,127,
1007737,1995,26,59,117,
248,1997,23,21,73,
455,1996,29,83,304,
1252,1994,25,80,331,
1013846,1995,38,84,285,
540,1997,27,71,222,
1009269,1995,26,58,201,
1012845,1995,26,80,244,
1002898,1997,28,115,408,
1380,1995,30,94,300,
1004026,1993,29,154,672,
1168,1994,26,97,366,
1012549,1993,23,70,302,
1167,1993,25,143,528,
169,1996,29,115,477,
221,1995,29,66,218,
1013363,1993,32,83,354,
1009209,1993,28,101,421,
54,1995,30,139,630,
1002411,1994,28,105,398,
1002289,1993,29,140,512,
816,1997,30,140,550,
1009151,1997,31,150,640,
1927,1997,25,115,350,
1380,1996,31,138,471,
1012186,1996,41,82,261,
1011756,1993,26,85,291,
1007516,1994,28,104,394,
1006482,1994,30,106,443,
1001863,1993,30,143,596,
1003619,1995,32,62,292,
1013862,1997,34,74,308,
1006176,1993,25,114,441,
1006700,1995,31,113,382,
1010870,1993,32,145,570,
1010771,1995,32,131,515,
286,1993,25,136,572,
1001052,1993,29,94,328,
372,1994,29,42,165,
1006381,1994,25,63,181,
1004669,1994,37,98,382,
1008559,1994,30,47,172,
1006349,1993,30,115,378,
580,1997,26,58,172,
1005269,1997,29,110,370,
796,1997,29,137,454,
867,1996,27,94,239,
818,1996,25,140,598,
1006815,1996,31,98,359,
1009480,1994,28,83,320,
1005820,1994,29,89,299,
1006228,1997,25,142,505,
1007668,1993,28,72,199,
1002277,1993,30,110,318,
1006815,1997,32,105,398,
1003719,1994,35,104,329,
1009151,1994,28,87,316,
1391,1995,29,70,284,
433,1996,23,149,526,
1009209,1995,30,101,391,
1005741,1993,34,34,83,
1003854,1994,27,55,174,
1005696,1997,30,50,138,
1013862,1995,32,101,465,
185,1995,21,47,206,
981,1994,28,37,75,
1393,1994,27,108,432,
79,1996,26,141,528,
1006700,1994,30,77,248,
933,1996,30,97,353,
1401,1996,33,82,307,
1009778,1997,31,111,386,
1011415,1995,27,85,379,
1006131,1995,34,84,241,
1004982,1995,30,53,182,
1004427,1994,32,107,409,
