key_fangraphs,internal_id,Season,Age,G,pa_tbf,PA,TBF
9178,3574,2021,31,3,8,0,8
10700,5013,2019,30,14,26,26,0
5221,5714,2018,33,32,662,4,662
16850,3654,2022,29,1,9,0,9
7706,3563,2016,28,17,34,34,0
2783,2962,2015,29,27,52,52,0
6141,5492,2014,31,80,127,127,0
9812,4276,2018,30,3,16,0,16
18615,2277,2023,30,16,91,0,91
13133,1545,2021,30,9,67,0,67
14509,1537,2022,30,2,34,0,34
12005,4395,2021,31,25,45,45,0
16313,5850,2022,27,29,60,60,0
13768,5523,2021,30,76,157,157,0
11859,3913,2018,26,51,132,132,0
8580,3383,2015,28,34,129,3,129
16537,1672,2022,31,6,49,0,49
11713,3948,2020,31,7,65,0,65
3462,3512,2014,30,1,9,0,9
7274,1259,2017,33,60,329,8,329
1345,554,2016,30,70,330,2,330
4741,1619,2015,30,5,24,0,24
6448,2811,2018,33,59,185,185,0
198,1407,2016,30,16,40,40,0
4544,1080,2016,35,13,100,0,100
19181,5990,2023,28,2,6,6,0
12005,4396,2018,28,55,179,179,0
9309,798,2016,28,11,40,0,40
3196,1087,2014,35,30,688,1,688
13293,1351,2020,30,2,13,0,13
10976,5029,2019,31,2,6,0,6
9456,4974,2021,34,18,78,0,78
13607,847,2022,30,57,256,0,256
8536,5594,2017,30,1,4,0,4
11720,3367,2020,31,4,27,0,27
6697,4163,2015,28,28,125,1,125
8841,4693,2016,30,30,91,91,0
7949,5419,2022,32,12,25,25,0
15194,2436,2023,27,84,272,272,0
7216,949,2017,26,17,39,39,0
10231,3137,2022,32,118,467,467,0
10323,4675,2018,27,41,143,143,0
21535,1215,2023,26,3,4,4,0
11394,193,2017,28,6,38,0,38
18421,5599,2022,29,12,55,0,55
20643,2913,2023,28,1,8,0,8
8879,5016,2020,32,5,11,11,0
