IDfg,Season,Age,G,PA,TBF
4949,2016-01-01,26,119,470,
11579,2016-01-01,23,147,627,
4881,2017-01-01,31,105,426,
9256,2017-01-01,29,112,466,
9253,2016-01-01,26,75,244,
3123,2015-01-01,31,115,372,
8553,2015-01-01,28,155,589,
8267,2014-01-01,31,108,373,
454,2015-01-01,36,119,397,
12144,2016-01-01,23,113,447,
12294,2015-01-01,24,108,345,
9345,2015-01-01,27,129,509,
5297,2015-01-01,25,97,390,
14161,2016-01-01,22,92,331,
5491,2018-01-01,29,77,265,
4720,2016-01-01,32,140,529,
13621,2018-01-01,24,144,619,
9134,2018-01-01,32,82,296,
13355,2018-01-01,27,68,231,
6547,2014-01-01,27,149,555,
9848,2017-01-01,30,85,318,
11737,2018-01-01,26,157,678,
16472,2018-01-01,25,153,660,
5273,2016-01-01,27,78,283,
16376,2015-01-01,22,56,194,
12179,2015-01-01,22,80,335,
17128,2018-01-01,23,48,176,
12984,2015-01-01,25,74,255,
15149,2017-01-01,25,147,586,
5631,2018-01-01,33,146,506,
1887,2016-01-01,35,116,517,
4969,2016-01-01,30,90,342,
11339,2017-01-01,26,106,259,
3256,2017-01-01,30,96,365,
3174,2018-01-01,35,146,665,
5275,2018-01-01,32,104,404,
12856,2014-01-01,24,78,345,
5275,2014-01-01,28,49,162,
5223,2016-01-01,29,94,391,
9911,2014-01-01,27,145,572,
15223,2018-01-01,26,113,352,
7304,2017-01-01,27,129,499,
9981,2014-01-01,27,78,263,
4892,2018-01-01,29,152,635,
2636,2015-01-01,29,128,385,
15191,2018-01-01,26,110,333,
11936,2017-01-01,26,138,573,
12564,2017-01-01,24,145,555,
11615,2017-01-01,24,135,480,
8347,2018-01-01,34,137,501,
4720,2017-01-01,33,147,586,
10324,2018-01-01,27,148,628,
6153,2015-01-01,26,127,446,
19198,2018-01-01,34,136,573,
12092,2018-01-01,26,131,492,
9874,2015-01-01,26,150,620,
6547,2017-01-01,30,145,558,
4940,2018-01-01,28,127,489,
12701,2015-01-01,25,125,555,
13152,2017-01-01,23,133,544,
6086,2014-01-01,31,160,691,
10071,2018-01-01,27,141,515,
3123,2014-01-01,30,146,444,
8202,2016-01-01,28,131,522,
6547,2018-01-01,31,117,436,
4962,2014-01-01,28,146,616,
4922,2014-01-01,23,118,447,
13265,2018-01-01,27,113,405,
8254,2014-01-01,32,113,402,
12976,2017-01-01,24,120,417,
4054,2014-01-01,29,110,426,
6887,2018-01-01,31,119,404,
7571,2017-01-01,28,82,270,
3353,2016-01-01,31,140,293,
3142,2017-01-01,33,88,309,
11899,2018-01-01,26,148,443,
16478,2015-01-01,22,69,273,
17919,2017-01-01,22,115,413,
5485,2017-01-01,27,83,344,
7996,2018-01-01,29,152,590,
13611,2014-01-01,21,52,213,
589,2015-01-01,38,133,531,
15464,2018-01-01,26,117,441,
4106,2017-01-01,30,90,375,
5000,2015-01-01,30,136,511,
9393,2014-01-01,25,142,563,
11445,2018-01-01,29,122,411,
17901,2017-01-01,22,151,658,
7331,2015-01-01,32,136,452,
13613,2015-01-01,21,57,247,
9874,2018-01-01,29,128,581,
5352,2015-01-01,27,152,571,
9549,2017-01-01,34,130,503,
12144,2017-01-01,24,147,568,
5497,2018-01-01,29,145,552,
2918,2014-01-01,32,96,413,
11470,2016-01-01,24,71,230,
12532,2018-01-01,27,127,407,
9219,2015-01-01,28,118,412,
2579,2014-01-01,35,110,445,
13075,2014-01-01,32,132,549,
5343,2017-01-01,30,144,570,
9627,2017-01-01,29,105,383,
4727,2016-01-01,32,148,626,
2829,2018-01-01,31,98,337,
9848,2015-01-01,28,136,527,
11936,2016-01-01,25,127,526,
7304,2014-01-01,24,150,606,
9927,2018-01-01,34,140,609,
4712,2014-01-01,26,151,626,
12532,2014-01-01,23,113,433,
12434,2016-01-01,27,146,584,
4866,2017-01-01,32,111,390,
8709,2015-01-01,26,160,661,
11339,2015-01-01,24,133,372,
8709,2014-01-01,25,157,685,
10199,2017-01-01,26,139,633,
7087,2014-01-01,28,82,275,
8027,2014-01-01,30,96,318,
9682,2016-01-01,33,105,248,
5306,2014-01-01,28,49,158,
15676,2018-01-01,31,128,553,
2636,2016-01-01,30,101,345,
6364,2016-01-01,31,130,517,
11680,2018-01-01,27,82,277,
11493,2017-01-01,24,156,690,
5222,2016-01-01,28,153,626,
9549,2016-01-01,33,141,492,
10816,2018-01-01,29,125,402,
1002,2014-01-01,36,133,531,
10339,2014-01-01,24,137,474,
9009,2014-01-01,26,130,506,
5227,2014-01-01,29,140,468,
11738,2018-01-01,27,110,384,
11146,2016-01-01,27,105,419,
1857,2014-01-01,31,120,518,
4616,2017-01-01,34,91,365,
5352,2014-01-01,26,131,535,
5827,2015-01-01,23,137,510,
2636,2014-01-01,28,97,294,
1572,2014-01-01,34,126,536,
18314,2018-01-01,24,136,533,
6609,2017-01-01,27,162,663,
4418,2014-01-01,30,136,566,
2900,2017-01-01,28,73,248,
10231,2016-01-01,26,137,513,
10199,2018-01-01,27,153,556,
10847,2014-01-01,24,146,576,
14811,2018-01-01,27,47,161,
1534,2014-01-01,35,49,205,
7996,2017-01-01,28,106,307,
13110,2017-01-01,31,81,321,
9957,2018-01-01,35,76,251,
15564,2018-01-01,27,66,237,
1907,2015-01-01,31,106,261,
7476,2017-01-01,30,112,376,
9549,2018-01-01,35,113,312,
2967,2015-01-01,27,52,173,
3410,2017-01-01,33,104,425,
3035,2014-01-01,32,131,482,
6848,2017-01-01,30,114,491,
4022,2016-01-01,31,151,646,
8347,2015-01-01,31,61,275,
2136,2017-01-01,29,140,577,
9272,2016-01-01,30,157,665,
12225,2017-01-01,26,141,531,
1177,2015-01-01,35,157,661,
14950,2017-01-01,23,82,256,
2830,2014-01-01,26,140,359,
9345,2018-01-01,30,109,367,
7927,2017-01-01,31,94,299,
7571,2014-01-01,25,142,533,
10243,2016-01-01,24,132,478,
11579,2014-01-01,21,100,395,
1857,2016-01-01,33,134,576,
2829,2017-01-01,30,107,359,
4727,2017-01-01,33,112,409,
7739,2017-01-01,28,112,376,
1101,2016-01-01,42,143,365,
5247,2014-01-01,24,70,282,
11379,2015-01-01,22,121,492,
7870,2015-01-01,29,103,415,
3707,2015-01-01,32,78,210,
12434,2018-01-01,29,142,542,
3787,2014-01-01,31,134,586,
4720,2015-01-01,31,156,642,
6195,2018-01-01,36,128,534,
6609,2016-01-01,26,158,624,
11038,2018-01-01,28,88,367,
6609,2015-01-01,25,151,603,
13624,2015-01-01,21,27,113,
13130,2015-01-01,25,41,115,
9957,2016-01-01,33,85,302,
10472,2015-01-01,23,76,218,
11270,2015-01-01,24,39,161,
4220,2018-01-01,33,85,323,
11982,2015-01-01,25,65,248,
16556,2017-01-01,20,57,244,
11205,2018-01-01,29,95,370,
18718,2016-01-01,28,95,346,
7287,2018-01-01,32,132,504,
