player_name,team,fa_class,position,minor_league_level,first_name_lower,last_name_lower,normed_position
Jesus Guzman,Detroit Tigers,2013,LHP,DSL,jesus,guzman,pitcher
Matt Hoffman,Detroit Tigers,2013,LHP,AAA,matt,hoffman,pitcher
Pat Misch,Detroit Tigers,2013,LHP,AAA,pat,misch,pitcher
Will Startup,Detroit Tigers,2013,LHP,AA,will,startup,pitcher
Ronny Paulino,Detroit Tigers,2013,C,AAA,ronny,paulino,batter
Lance Durham,Detroit Tigers,2013,1B,Lo A,lance,durham,batter
Marcus Lemon,Detroit Tigers,2013,2B,AA,marcus,lemon,batter
Kevin Russo,Detroit Tigers,2013,2B,AAA,kevin,russo,batter
Mike Cervenak,Detroit Tigers,2013,3B,AAA,mike,cervenak,batter
Argenis Diaz,Detroit Tigers,2013,SS,AAA,argenis,diaz,batter
Luis Castillo,Detroit Tigers,2013,OF,AA,luis,castillo,batter
Danny Dorn,Detroit Tigers,2013,OF,AAA,danny,dorn,batter
Murilo Gouvea,Houston Astros,2013,RHP,Hi A,murilo,gouvea,pitcher
Cameron Lamb,Houston Astros,2013,RHP,Hi A,cameron,lamb,pitcher
Carlos Quevedo,Houston Astros,2013,RHP,Hi A,carlos,quevedo,pitcher
Sergio Escalona,Houston Astros,2013,LHP,Hi A,sergio,escalona,pitcher
Luis Alvarez,Houston Astros,2013,C,Hi A,luis,alvarez,batter
Cody Clark,Houston Astros,2013,C,AAA,cody,clark,batter
Jose Martinez,Houston Astros,2013,2B,AAA,jose,martinez,batter
Michael Burgess,Houston Astros,2013,OF,Hi A,michael,burgess,batter
Che-Hsuan Lin,Houston Astros,2013,OF,AAA,che-hsuan,lin,batter
Jason Bergmann,Kansas City Royals,2013,RHP,AA,jason,bergmann,pitcher
Santiago Garrido,Kansas City Royals,2013,RHP,AA,santiago,garrido,pitcher
Devon Lowery*,Kansas City Royals,2013,RHP,AA,devon,lowery*,pitcher
Clayton Mortensen,Kansas City Royals,2013,RHP,AAA,clayton,mortensen,pitcher
Julio Rodriguez,Kansas City Royals,2013,RHP,R,julio,rodriguez,pitcher
Sam Runion,Kansas City Royals,2013,RHP,AA,sam,runion,pitcher
Brian Sanches,Kansas City Royals,2013,RHP,AAA,brian,sanches,pitcher
Leonel Santiago,Kansas City Royals,2013,RHP,Hi A,leonel,santiago,pitcher
Zach Jackson,Kansas City Royals,2013,LHP,AAA,zach,jackson,pitcher
Mitch Canham,Kansas City Royals,2013,C,AAA,mitch,canham,batter
Manny Pina,Kansas City Royals,2013,C,AAA,manny,pina,batter
Max Ramirez,Kansas City Royals,2013,C,AAA,max,ramirez,batter
Ben Broussard,Kansas City Royals,2013,1B,AAA,ben,broussard,batter
Chase Lambin,Kansas City Royals,2013,2B,AAA,chase,lambin,batter
Rey Navarro,Kansas City Royals,2013,2B,AAA,rey,navarro,batter
Lewis Urena,Kansas City Royals,2013,2B,R,lewis,urena,batter
Anthony Seratelli,Kansas City Royals,2013,3B,AAA,anthony,seratelli,batter
Sharlon Schoop*,Kansas City Royals,2013,SS,AA,sharlon,schoop*,batter
Gorkys Hernandez,Kansas City Royals,2013,OF,AA,gorkys,hernandez,batter
Charles Thomas*,Kansas City Royals,2013,OF,Hi A,charles,thomas*,batter
Edinson Rincon,Kansas City Royals,2013,OF,AA,edinson,rincon,batter
Orangel Arenas,Los Angeles Angels,2013,RHP,Hi A,orangel,arenas,pitcher
Lay Batista,Los Angeles Angels,2013,RHP,AA,lay,batista,pitcher
Fernando Cabrera,Los Angeles Angels,2013,RHP,AAA,fernando,cabrera,pitcher
Chad Cordero,Los Angeles Angels,2013,RHP,AAA,chad,cordero,pitcher
Manuarys Correa,Los Angeles Angels,2013,RHP,AA,manuarys,correa,pitcher
Rob Delaney,Los Angeles Angels,2013,RHP,AAA,rob,delaney,pitcher
Barry Enright,Los Angeles Angels,2013,RHP,AAA,barry,enright,pitcher
Brandon Hynick,Los Angeles Angels,2013,RHP,AA,brandon,hynick,pitcher
Josh Judy,Los Angeles Angels,2013,RHP,AA,josh,judy,pitcher
Jason Urquidez,Los Angeles Angels,2013,RHP,AAA,jason,urquidez,pitcher
Dustin Richardson,Los Angeles Angels,2013,LHP,AAA,dustin,richardson,pitcher
Dontrelle Willis,Los Angeles Angels,2013,LHP,AAA,dontrelle,willis,pitcher
Luke Carlin,Los Angeles Angels,2013,C,AAA,luke,carlin,batter
Luis Rodriguez,Los Angeles Angels,2013,2B,AAA,luis,rodriguez,batter
Rusty Ryal,Los Angeles Angels,2013,2B,AAA,rusty,ryal,batter
Andy Marte,Los Angeles Angels,2013,3B,AAA,andy,marte,batter
Jimmy Swift,Los Angeles Angels,2013,SS,AA,jimmy,swift,batter
Julio Concepcion,Los Angeles Angels,2013,OF,Lo A,julio,concepcion,batter
Cyle Hankerd,Los Angeles Angels,2013,OF,AA,cyle,hankerd,batter
Lou Montanez,Los Angeles Angels,2013,OF,AA,lou,montanez,batter
Trent Oeltjen,Los Angeles Angels,2013,OF,AAA,trent,oeltjen,batter
Robbie Widlansky,Los Angeles Angels,2013,OF,AA,robbie,widlansky,batter
Juan Abreu*,Los Angeles Dodgers,2013,RHP,AAA,juan,abreu*,pitcher
Angel Castro,Los Angeles Dodgers,2013,RHP,AAA,angel,castro,pitcher
Kyle Cofield,Los Angeles Dodgers,2013,RHP,AAA,kyle,cofield,pitcher
