player_name,team,fa_class,position,minor_league_level
Blake Johnson,Los Angeles Dodgers,2014,RHP,AAA
Anthony Ortega,Los Angeles Dodgers,2014,RHP,AAA
Matt Palmer,Los Angeles Dodgers,2014,RHP,AAA
Mario Santiago*,Los Angeles Dodgers,2014,RHP,AAA
Daniel Tamares,Los Angeles Dodgers,2014,RHP,Lo A
Luis Vasquez,Los Angeles Dodgers,2014,RHP,AAA
Sean White,Los Angeles Dodgers,2014,RHP,AAA
Kelvin de la Cruz,Los Angeles Dodgers,2014,LHP,AAA
Thomas Melgarejo,Los Angeles Dodgers,2014,LHP,AA
Jonathan Sanchez,Los Angeles Dodgers,2014,LHP,AAA
Eliezer Alfonzo,Los Angeles Dodgers,2014,C,AAA
Damaso Espino,Los Angeles Dodgers,2014,C,AAA
J.R. Towles,Los Angeles Dodgers,2014,C,AAA
Matt Wallach,Los Angeles Dodgers,2014,C,AA
Sean Burroughs,Los Angeles Dodgers,2014,1B,AAA
Rafael Ynoa,Los Angeles Dodgers,2014,2B,AA
Brian Barden,Los Angeles Dodgers,2014,3B,AAA
Pedro Guerrero,Los Angeles Dodgers,2014,3B,AA
Ryan Mount,Los Angeles Dodgers,2014,3B,AA
Matt Angle,Los Angeles Dodgers,2014,OF,AAA
Tony Gwynn Jr.,Los Angeles Dodgers,2014,OF,AAA
Jeremy Moore,Los Angeles Dodgers,2014,OF,AAA
Jonathan Albaladejo,Miami Marlins,2014,RHP,AAA
Jose Ceda,Miami Marlins,2014,RHP,AAA
Jay Jackson,Miami Marlins,2014,RHP,AAA
Adam Reifer,Miami Marlins,2014,RHP,AAA
Rob Waite,Miami Marlins,2014,RHP,AAA
Ramon Benjamin*,Miami Marlins,2014,LHP,AA
Jose Ceballos*,Miami Marlins,2014,C,Hi A
Ben Lasater,Miami Marlins,2014,1B,AAA
Joe Mahoney,Miami Marlins,2014,1B,AAA
Kevin Kouzmanoff,Miami Marlins,2014,3B,AAA
Audy Ciriaco,Miami Marlins,2014,SS,AA
Chris Gutierrez,Miami Marlins,2014,SS,AA
