player_name,team,fa_class
Reymin Guduan,Los Angeles Dodgers,2021
Connor Joe,Los Angeles Dodgers,2021
Matt Lipka,Los Angeles Dodgers,2021
Kyle Lobstein,Los Angeles Dodgers,2021
Zach McAllister,Los Angeles Dodgers,2021
Gersel Pitre,Los Angeles Dodgers,2021
Edubray Ramos,Los Angeles Dodgers,2021
Luis Vasquez,Los Angeles Dodgers,2021
Anthony Vizcaya,Los Angeles Dodgers,2021
Jared Walker,Los Angeles Dodgers,2021
Victor Acosta,Los Angeles Angels,2021
Arismendy Alcantara,Los Angeles Angels,2021
Francisco Arcia,Los Angeles Angels,2021
Jose Briceno,Los Angeles Angels,2021
Adrian De Horta,Los Angeles Angels,2021
Joe Gatto,Los Angeles Angels,2021
Michael Hermosillo,Los Angeles Angels,2021
Michael Kohn,Los Angeles Angels,2021
Parker Markel,Los Angeles Angels,2021
Eduard Pinto,Los Angeles Angels,2021
JC Ramirez,Los Angeles Angels,2021
Jacob Rhame,Los Angeles Angels,2021
Erick Salcedo,Los Angeles Angels,2021
Elliot Soto,Los Angeles Angels,2021
Jake Thompson,Los Angeles Angels,2021
Santiago Chavez,Miami Marlins,2021
Stone Garrett,Miami Marlins,2021
Preston Guilmet,Miami Marlins,2021
Gosuke Katoh,Miami Marlins,2021
Tyler Kolek,Miami Marlins,2021
Brandon Leibrandt,Miami Marlins,2021
Julian Leon,Miami Marlins,2021
Aaron Northcraft,Miami Marlins,2021
Johan Belisario,Milwaukee Brewers,2021
Anthony Bender,Milwaukee Brewers,2021
Keon Broxton,Milwaukee Brewers,2021
James Gainey,Milwaukee Brewers,2021
Jake Gatewood,Milwaukee Brewers,2021
Tuffy Gosewisch,Milwaukee Brewers,2021
Nelson Hernandez,Milwaukee Brewers,2021
Chris Lee,Milwaukee Brewers,2021
Julio Mendez,Milwaukee Brewers,2021
Shelby Miller,Milwaukee Brewers,2021
Dylan Prohoroff,Milwaukee Brewers,2021
Ronny Rodriguez,Milwaukee Brewers,2021
Trey Supak,Milwaukee Brewers,2021
Aaron Wilkerson,Milwaukee Brewers,2021
Austin Adams,Minnesota Twins,2021
Lane Adams,Minnesota Twins,2021
Cody Asche,Minnesota Twins,2021
Alec Asher,Minnesota Twins,2021
Parker Bridwell,Minnesota Twins,2021
Jonathan Cheshire,Minnesota Twins,2021
Sam Clay,Minnesota Twins,2021
Andro Cutura,Minnesota Twins,2021
Kody Eaves,Minnesota Twins,2021
Anderson Feliz,Minnesota Twins,2021
Ramon Flores,Minnesota Twins,2021
Nick Garland,Minnesota Twins,2021
Moises Gomez,Minnesota Twins,2021
Juan Graterol,Minnesota Twins,2021
Blaine Hardy,Minnesota Twins,2021
Mitch Horacek,Minnesota Twins,2021
Joey Krehbiel,Minnesota Twins,2021
Casey Lawrence,Minnesota Twins,2021
Zack Littell,Minnesota Twins,2021
Drew Maggi,Minnesota Twins,2021
Jose Martinez,Minnesota Twins,2021
Levi Michael,Minnesota Twins,2021
Peter Mooney,Minnesota Twins,2021
Jake Reed,Minnesota Twins,2021
Jarett Rindfleisch,Minnesota Twins,2021
Chris Rowley,Minnesota Twins,2021
Wilfredo Tovar,Minnesota Twins,2021
Lukas Young,Minnesota Twins,2021
Matt Blackham,New York Mets,2021
Jake Hager,New York Mets,2021
Carlos Hernandez,New York Mets,2021
Joel Huertas,New York Mets,2021
Braxton Lee,New York Mets,2021
Hansel Moreno,New York Mets,2021
Jose Moreno,New York Mets,2021
Max Moroff,New York Mets,2021
Jarrett Parker,New York Mets,2021
Darwin Ramos,New York Mets,2021
Nataneal Ramos,New York Mets,2021
Luc Rennie,New York Mets,2021
Francisco Rios,New York Mets,2021
Peter Tago,New York Mets,2021
Adonis Uceta ,New York Mets,2021
Fernando Abad,New York Yankees,2021
Domingo Acevedo,New York Yankees,2021
Angel Aguilar,New York Yankees,2021
Daniel Alvarez,New York Yankees,2021
Luis Avilan,New York Yankees,2021
Ryan Buchter,New York Yankees,2021
Kellin Deglan,New York Yankees,2021
Matt Duffy,New York Yankees,2021
Elvis Escobar,New York Yankees,2021
Maiker Feliz,New York Yankees,2021
Zack Granite,New York Yankees,2021
Rosell Herrera,New York Yankees,2021
Welfrin Mateo,New York Yankees,2021
Thomas Milone,New York Yankees,2021
Leonardo Molina,New York Yankees,2021
Eduardo Navas,New York Yankees,2021
Dan Otero,New York Yankees,2021
Wynston Sawyer,New York Yankees,2021
Anderson Severino,New York Yankees,2021
Josh Thole,New York Yankees,2021
Tony Zych,New York Yankees,2021
Ben Bracewell,Oakland Athletics,2021
Eric Campbell,Oakland Athletics,2021
Trey Cochran-Gill,Oakland Athletics,2021
Jose Colina,Oakland Athletics,2021
Ryan Court,Oakland Athletics,2021
Ronnie Freeman,Oakland Athletics,2021
Ian Gardeck,Oakland Athletics,2021
Yhoelnys Gonzalez,Oakland Athletics,2021
Donnie Hart,Oakland Athletics,2021
Jhenderson Hurtado,Oakland Athletics,2021
Jason Krizan,Oakland Athletics,2021
Jaimito Lebron,Oakland Athletics,2021
Zach Lee,Oakland Athletics,2021
Trace Loehr,Oakland Athletics,2021
Lucas Luetge,Oakland Athletics,2021
Deivy Mendez,Oakland Athletics,2021
Carlos Perez,Oakland Athletics,2021
Jean Ruiz,Oakland Athletics,2021
Jaime Schultz,Oakland Athletics,2021
Cody Stull,Oakland Athletics,2021
Dillon Thomas,Oakland Athletics,2021
Michael Ynoa,Oakland Athletics,2021
Jose Antequera,Philadelphia Phillies,2021
Gustavo Armas,Philadelphia Phillies,2021
Christian Bethancourt,Philadelphia Phillies,2021
Grenny Cumana,Philadelphia Phillies,2021
Jose Gomez,Philadelphia Phillies,2021
Jonathan Lucroy,Philadelphia Phillies,2021
Mikie Mahtook,Philadelphia Phillies,2021
Nick Martini,Philadelphia Phillies,2021
Alejandro Requena,Philadelphia Phillies,2021
Socrates Brito,Pittsburgh Pirates,2021
Montana DuRapau,Pittsburgh Pirates,2021
Gage Hinsz,Pittsburgh Pirates,2021
Jason Martin,Pittsburgh Pirates,2021
Hector Noesi,Pittsburgh Pirates,2021
Pablo Reyes,Pittsburgh Pirates,2021
Adrian Valerio,Pittsburgh Pirates,2021
Yonder Alonso,San Diego Padres,2021
Jean Cosme,San Diego Padres,2021
Michael Gettys,San Diego Padres,2021
Chih-Wei Hu,San Diego Padres,2021
Emmanuel Ramirez,San Diego Padres,2021
