internal_id,full_name,team,name_last,name_first,fa_class,key_fangraphs,key_bbref_minors,mlb_played_first,mlb_played_last,pro_played_first,pro_played_last,position,position_cat,chadwick_returned
15,Alex Monsalve,TOR,Monsalve,Alex,2018,,monsal001ale,,,2009,2020,C,batter,one
285,Jon Berti,TOR,Berti,Jon,2018,12037,berti-001jon,2018,2024,2011,2024,2B,batter,one
109,Christian Lopes,TOR,Lopes,Christian,2018,13472,lopes-000chr,2022,2022,2012,2022,2B,batter,one
370,Matt Dean,TOR,Dean,Matt,2018,,dean--000mat,,,2012,2019,3B,batter,one
492,Shane Opitz,TOR,Opitz,Shane,2018,,opitz-001sha,,,2010,2019,SS,batter,one
217,Gregorio Petit,TOR,Petit,Gregorio,2018,3812,petit-001gre,2008,2018,2003,2018,SS,batter,one
141,Darrell Ceciliani,TOR,Ceciliani,Darrell,2018,9954,cecili001dar,2015,2017,2009,2018,OF,batter,one
152,Derrick Loveless,TOR,Loveless,Derrick,2018,,lovele000der,,,2011,2018,OF,batter,one
297,Jose Tabata,TOR,Tabata,Jose,2018,2411,tabata001jos,2010,2015,2005,2021,OF,batter,zero
204,Gabriel Arias,WSN,Arias,Gabriel,2018,,arias-001gab,,,2007,2021,RHP,pitcher,one
508,Taylor Hill,WSN,Hill,Taylor,2018,12515,hill--005dav,2014,2015,2011,2019,RHP,pitcher,one
329,Kevin Jepsen,WSN,Jepsen,Kevin,2018,6475,jepsen001kev,2008,2018,2002,2018,RHP,pitcher,one
252,Jaron Long,WSN,Long,Jaron,2018,,long--000jar,,,2013,2018,RHP,pitcher,one
445,Rafael Martin,WSN,Martín,Rafael,2018,10258,martin003raf,2015,2016,2007,2020,RHP,pitcher,one
212,Gilberto Mendez,WSN,Mendez,Gilberto,2018,,mendez000gil,,,2011,2017,RHP,pitcher,one
490,Sean O’Sullivan,WSN,O’Sullivan,Sean,2018,9137,osulli001sea,2009,2016,2006,2018,RHP,pitcher,zero
412,Neil Ramirez,WSN,Ramírez,Neil,2018,7677,ramire001nei,2014,2019,2008,2024,RHP,pitcher,one
25,Andrew Robinson,WSN,Robinson,Andrew,2018,,robins014jam,,,2010,2017,RHP,pitcher,one
