internal_id,full_name,team,name_last,name_first,fa_class,key_fangraphs,key_bbref_minors,mlb_played_first,mlb_played_last,pro_played_first,pro_played_last,position_cat,chadwick_returned
858,Carlos Triunfel,CIN,Triunfel,Carlos,2017,193,triunf001car,2012,2014,2007,2018,batter,one
3118,Juan Duran,CIN,Duran,Juan,2017,,duran-003jua,,,2008,2017,batter,one
1515,Donald Lutz,CIN,Lutz,Donald,2017,10154,lutz--001don,2013,2014,2008,2022,batter,one
5571,Yorman Rodriguez,CIN,Rodríguez,Yorman,2017,9922,rodrig001yor,2014,2014,2009,2019,batter,one
3393,Kyle Waldrop,CIN,Waldrop,Kyle,2017,11402,waldro001kyl,2015,2016,2010,2018,batter,one
5241,Trevor Foss,CLE,Foss,Trevor,2017,,foss--000tre,,,2013,2018,pitcher,one
4950,Shawn Haviland,CLE,Haviland,Shawn,2017,,havila001sha,,,2008,2017,pitcher,one
1176,Craig Stammen,CLE,Stammen,Craig,2017,7274,stamme001cra,2009,2022,2005,2022,pitcher,one
880,Casey Weathers,CLE,Weathers,Casey,2017,,weathe001cas,,,2007,2017,pitcher,one
5054,T.J. House,CLE,House,T. J.,2017,9121,house-001tj-,2014,2017,2009,2020,pitcher,one
3586,Luke Carlin,CLE,Carlin,Luke,2017,,,,,,,batter,zero
164,Alex Monsalve,CLE,Monsalve,Alex,2017,,monsal001ale,,,2009,2020,batter,one
48,Adam Moore,CLE,Moore,Adam,2017,9362,moore-001ada,2009,2018,2006,2019,batter,one
2060,Guillermo Quiroz,CLE,Quiroz,Guillermo,2017,7989,quiroz001gui,2004,2014,1999,2016,batter,one
4227,Omir Santos,CLE,Santos,Omir,2017,,,,,,,batter,zero
3217,Justin Toole,CLE,Toole,Justin,2017,,,,,,,batter,zero
3862,Michael Choice,CLE,Choice,Michael,2017,11376,choice001mic,2013,2015,2010,2021,batter,one
1015,Christian Bergman,COL,Bergman,Christian,2017,10925,bergma001chr,2014,2018,2010,2019,pitcher,one
4977,Simon Castro,COL,Castro,Simón,2017,9243,castro001sim,2013,2017,2006,2018,pitcher,one
4097,Nelson Gonzalez,COL,Gonzalez,Nelson,2017,,gonzal001nel,,,2007,2023,pitcher,one
2753,Johendi Jiminian,COL,Jiminian,Johendí,2017,,jimini001joh,,,2010,2019,pitcher,one
5549,Yoely Bello,COL,Bello,Yoely,2017,,bello-001yoe,,,2010,2016,pitcher,one
810,Carlos Hernandez,COL,Hernandez,Carlos,2017,,hernan013car,,,2007,2023,pitcher,one
5322,Tyler Matzek,COL,Matzek,Tyler,2017,10058,matzek001tyl,2014,2024,2010,2024,pitcher,one
4290,Pat McCoy,COL,McCoy,Pat,2017,6605,mccoy-002pat,2014,2014,2007,2018,pitcher,one
2249,Jackson Williams,COL,Williams,Jackson,2017,8524,willia007jac,2014,2015,2007,2018,batter,one
469,Ben Paulsen,COL,Paulsen,Ben,2017,9741,paulse001ben,2014,2016,2009,2017,batter,one
886,Cesar Galvez,COL,Galvez,Cesar,2017,,galvez001ces,,,2010,2016,batter,one
4420,Rafael Ynoa,COL,Ynoa,Rafael,2017,2832,ynoa--001raf,2014,2016,2006,2018,batter,one
991,Chris Nelson,COL,Nelson,Chris,2017,8175,nelson003chr,2010,2014,2004,2017,batter,one
2499,Jeff Bianchi,COL,Bianchi,Jeff,2017,9958,bianch001jef,2012,2015,2005,2016,batter,one
5480,Wilson Soriano,COL,Soriano,Wilson,2017,,sorian001wil,,,2009,2017,batter,one
2739,Joey Wong,COL,Wong,Joey,2017,,wong--001joe,,,2009,2019,batter,one
150,Alex Castellanos,COL,Castellanos,Alex,2017,7223,castel001ale,2012,2013,2008,2018,batter,one
4671,Rosell Herrera,COL,Herrera,Rosell,2017,11611,herrer001ros,2018,2019,2010,2022,batter,one
5568,Yordy Cabrera,DET,Cabrera,Yordy,2017,,cabrer001yor,,,2010,2022,pitcher,one
1640,Edgar de la Rosa,DET,de la Rosa,Edgar,2017,,,,,,,pitcher,zero
4384,Preston Guilmet,DET,Guilmet,Preston,2017,7303,guilme001pre,2013,2021,2009,2021,pitcher,one
1381,David Martinez,DET,Martínez,David,2017,8893,martin013dav,2013,2014,2005,2022,pitcher,one
1586,Dustin Molleken,DET,Molleken,Dustin,2017,6200,mollek001dus,2016,2016,2003,2019,pitcher,one
5100,Thad Weber,DET,Weber,Thad,2017,8036,weber-001tha,2012,2013,2008,2017,pitcher,one
1533,Drake Britton,DET,Britton,Drake,2017,2868,britto001dra,2013,2014,2008,2018,pitcher,one
890,Cesar Ramos,DET,Ramos,Cesár,2017,3357,ramos-001ces,2009,2016,2005,2017,pitcher,one
5183,Tommy Shirley,DET,Shirley,Tommy,2017,,shirle002tho,,,2010,2022,pitcher,one
903,Chad Huffman,DET,Huffman,Chad,2017,5311,huffma001cha,2010,2017,2006,2018,batter,one
5283,Tyler Bortnick,DET,Bortnick,Tyler,2017,,bortni001tyl,,,2009,2018,batter,one
1154,Corey Jones,DET,Jones,Corey,2017,,jones-001cor,,,2010,2016,batter,one
2890,Jordany Valdespin,DET,Valdespin,Jordany,2017,5098,valdes001jor,2012,2015,2007,2023,batter,one
4330,Pedro Ciriaco,DET,Ciriaco,Pedro,2017,5278,ciriac001ped,2010,2015,2005,2017,batter,one
5496,Wynton Bernard,DET,Bernard,Wynton,2017,13408,bernar000wyn,2022,2022,2012,2024,batter,one
154,Alex Fernandez Jr.,DET,Fernandez Jr.,Alex,2017,,,,,,,batter,zero
893,Cesar Valdez,HOU,Valdez,Cesar,2017,,,,,,,pitcher,zero
1820,Eury de la Rosa,HOU,de la Rosa,Eury,2017,,,,,,,pitcher,zero
1823,Evan Grills,HOU,Grills,Evan,2017,,grills001eva,,,2010,2022,pitcher,one
4609,Roberto Pena,HOU,Peña,Roberto,2017,,pena--002rob,,,2010,2023,batter,one
913,Chan Moon,HOU,Moon,Chan,2017,,moon--002cha,,,2010,2021,batter,one
1062,Clayton Mortensen,KCR,Mortensen,Clayton,2017,3166,morten001cla,2009,2013,2007,2017,pitcher,one
401,Aroni Nina,KCR,Nina,Aroni,2017,,nina--001aro,,,2008,2018,pitcher,one
475,Benino Pruneda,KCR,Pruneda,Benino,2017,,pruned001ben,,,2007,2017,pitcher,one
4169,Nick Tepesch,KCR,Tepesch,Nick,2017,11716,tepesc001nic,2013,2017,2011,2019,pitcher,one
2775,John Lannan,KCR,Lannan,John,2017,7080,lannan001joh,2007,2014,2005,2017,pitcher,one
446,Balbino Fuenmayor,KCR,Fuenmayor,Balbino,2017,,fuenma001bal,,,2007,2024,batter,one
2172,Irving Falu,KCR,Falu,Irving,2017,6165,falu--001irv,2012,2014,2003,2020,batter,one
316,Angel Franco,KCR,Franco,Angel,2017,,franco001ang,,,2007,2017,batter,one
5030,Steve Tolleson,KCR,Tolleson,Steve,2017,,,,,,,batter,zero
4234,Orlando Calixte,KCR,Calixte,Orlando,2017,11905,caxito001orl,2015,2017,2010,2024,batter,one
1597,Dusty Coleman,KCR,Coleman,Dusty,2017,8979,colema001dus,2015,2017,2008,2018,batter,one
808,Carlos Garcia,KCR,Garcia,Carlos,2017,,garcia013car,,,2009,2020,batter,one
1979,Geoff Broussard,LAA,Broussard,Geoff,2017,,brouss000geo,,,2012,2024,pitcher,one
2951,Jose Feliz,LAA,Feliz,Jose,2017,,feliz-004jos,,,2013,2016,pitcher,one
4069,Nate Fury,LAA,Fury,Nate,2017,,fury--000nat,,,2014,2016,pitcher,one
1199,D.J. Johnson,LAA,Johnson,DJ,2017,12578,johnso009dan,2018,2021,2010,2021,pitcher,one
3375,Kyle Kendrick,LAA,Kendrick,Kyle,2017,6230,kendri001kyl,2007,2017,2003,2017,pitcher,one
5580,Yunesky Maya,LAA,Maya,Yunesky,2017,11420,maya--001yun,2010,2013,2003,2024,pitcher,one
5627,Zach Nuding,LAA,Nuding,Zach,2017,,nuding001zac,,,2010,2017,pitcher,one
2646,Jhonny Polanco,LAA,Polanco,Jhonny,2017,,polanc001jho,,,2009,2016,pitcher,one
3079,Josh Roenicke,LAA,Roenicke,Josh,2017,3241,roenic001jos,2008,2013,2006,2020,pitcher,one
1819,Eury Sanchez,LAA,Sanchez,Eury,2017,,sanche000eur,,,2012,2016,pitcher,one
1398,David Trexler,LAA,Trexler,David,2017,,trexle000dav,,,2014,2016,pitcher,one
982,Chris Jones,LAA,Jones,Chris,2017,,jones-010chr,,,2007,2016,pitcher,one
2989,Jose Molina,LAA,Molina,Jose,2017,,molina002alb,,,2008,2022,pitcher,one
643,Brett Oberholtzer,LAA,Oberholtzer,Brett,2017,3855,oberho001bre,2013,2016,2008,2019,pitcher,one
1673,Edward Paredes,LAA,Paredes,Eduardo,2017,16344,parede000edu,2017,2018,2012,2023,pitcher,multiple_passed_bref_check
1673,Edward Paredes,LAA,Paredes,Edward,2017,4168,parede001edw,2017,2018,2006,2022,pitcher,multiple_passed_bref_check
5401,Webster Rivas,LAA,Rivas,Webster,2017,14636,rivas-001web,2021,2021,2010,2024,batter,one
4766,Ryan Scott,LAA,Scott,Ryan,2017,,scott-002rya,,,2013,2019,batter,one
334,Angelo Amendolare,LAA,Amendolare,Angelo,2017,,amendo000ang,,,2015,2016,batter,one
4882,Sean Coyle,LAA,Coyle,Sean,2017,,coyle-001sea,,,2010,2017,batter,one
360,Anthony Phillips,LAA,Phillips,Anthony,2017,,philli003ant,,,2007,2018,batter,one
432,Austin Cousino,LAA,Cousino,Austin,2017,,cousin001aus,,,2014,2016,batter,one
2229,Jabari Henry,LAA,Henry,Jabari,2017,,henry-001jab,,,2012,2024,batter,one
3462,Logan Bawcom,LAD,Bawcom,Logan,2017,,bawcom001log,,,2010,2019,pitcher,one
3454,Lisalverto Bonilla,LAD,Bonilla,Lisalverto,2017,11266,bonill001lis,2014,2017,2009,2023,pitcher,one
1261,Daniel Corcino,LAD,Corcino,Daniel,2017,9266,corcin001dan,2014,2018,2008,2024,pitcher,one
199,Alfredo Figaro,LAD,Fígaro,Alfredo,2017,8404,figaro001alf,2009,2014,2006,2018,pitcher,one
4915,Seth Frankoff,LAD,Frankoff,Seth,2017,11346,franko001jam,2017,2021,2010,2022,pitcher,one
1842,Felipe Gonzalez,LAD,Gonzalez,Felipe,2017,,gonzal004fel,,,2008,2024,pitcher,one
2554,Jeremy Kehrt,LAD,Kehrt,Jeremy,2017,,kehrt-001jer,,,2008,2017,pitcher,one
3056,Josh Kimborowicz,LAD,Kimborowicz,Josh,2017,,kimbor000jos,,,2013,2018,pitcher,one
4802,Sam LeCure,LAD,LeCure,Sam,2017,4664,lecure001sam,2010,2015,2005,2016,pitcher,one
2063,Gus Schlosser,LAD,Schlosser,Gus,2017,12321,schlos000aug,2014,2014,2011,2016,pitcher,one
5150,Tim Shibuya,LAD,Shibuya,Tim,2017,,shibuy000tim,,,2011,2017,pitcher,one
148,Alex Burgos,LAD,Burgos,Alex,2017,,burgos002ale,,,2010,2018,pitcher,one
2507,Jeff Malm,LAD,Malm,Jeff,2017,,malm--001jef,,,2009,2018,pitcher,one
2884,Jordan Schafer,LAD,Schafer,Jordan,2017,9883,schafe001jor,2009,2015,2005,2018,pitcher,one
4962,Shawn Zarraga,LAD,Zarraga,Shawn,2017,,zarrag001sha,,,2008,2017,batter,one
