internal_id,player_name,first_name_lower,last_name_lower,team,fa_class,position,normed_position,minor_league_level
66,Aderlin Mejia,aderlin,mejia,MIN,2017-01-01,2B,batter,Hi A
2105,Heiker Meneses,heiker,meneses,MIN,2017-01-01,SS,batter,AAA
5428,Wilfredo Tovar,wilfredo,tovar,MIN,2017-01-01,SS,batter,AAA
4514,Reynaldo Rodriguez,reynaldo,rodriguez,MIN,2017-01-01,OF,batter,AAA
5306,Tyler Herron,tyler,herron,NYM,2017-01-01,RHP,pitcher,AAA
4426,Rainy Lara,rainy,lara,NYM,2017-01-01,RHP,pitcher,AA
1509,Domingo Tapia,domingo,tapia,NYM,2017-01-01,RHP,pitcher,Hi A
5639,Zach Thornton,zach,thornton,NYM,2017-01-01,RHP,pitcher,AAA
3093,Josh Zeid,josh,zeid,NYM,2017-01-01,RHP,pitcher,AAA
260,Andrew Barbosa,andrew,barbosa,NYM,2017-01-01,LHP,pitcher,AA
1569,Duane Below,duane,below,NYM,2017-01-01,LHP,pitcher,AAA
1939,Gabriel Feliz,gabriel,feliz,NYM,2017-01-01,LHP,pitcher,SS
1327,Darin Gorski,darin,gorski,NYM,2017-01-01,LHP,pitcher,AAA
932,Chase Huchingson,chase,huchingson,NYM,2017-01-01,LHP,pitcher,AAA
77,Adrian Abreu,adrian,abreu,NYM,2017-01-01,C,batter,Lo A
2501,Jeff Glenn,jeff,glenn,NYM,2017-01-01,C,batter,AAA
4486,Raywilly Gomez,raywilly,gomez,NYM,2017-01-01,C,batter,AA
3632,Marc Krauss,marc,krauss,NYM,2017-01-01,1B,batter,AAA
1755,Eric Campbell,eric,campbell,NYM,2017-01-01,3B,batter,AAA
1456,Derrik Gibson,derrik,gibson,NYM,2017-01-01,SS,batter,AA
4184,Niuman Romero,niuman,romero,NYM,2017-01-01,SS,batter,AAA
4637,Roger Bernadina,roger,bernadina,NYM,2017-01-01,OF,batter,AAA
5284,Tyler Cloyd,tyler,cloyd,NYY,2017-01-01,RHP,pitcher,AAA
1053,Claudio Custodio,claudio,custodio,NYY,2017-01-01,RHP,pitcher,SS
1931,Gabe Encinas,gabe,encinas,NYY,2017-01-01,RHP,pitcher,R
4843,Santiago Nessy,santiago,nessy,NYY,2017-01-01,C,batter,Hi A
1624,Eddy Rodriguez,eddy,rodriguez,NYY,2017-01-01,C,batter,AAA
4903,Sebastian Valle,sebastian,valle,NYY,2017-01-01,C,batter,AA
3015,Jose Rosario,jose,rosario,NYY,2017-01-01,2B,batter,AAA
1047,Cito Culver,cito,culver,NYY,2017-01-01,SS,batter,AAA
2824,Jonathan Diaz,jonathan,diaz,NYY,2017-01-01,SS,batter,AAA
888,Cesar Puello,cesar,puello,NYY,2017-01-01,OF,batter,AAA
242,Andres Avila,andres,avila,OAK,2017-01-01,RHP,pitcher,AAA
