internal_id,player_name,first_name,last_name,has_suffix,team,fa_class,position,normed_position,minor_league_level
4227,Omir Santos,Omir,Santos,false,CLE,2017,C,batter,SS
3217,Justin Toole,Justin,Toole,false,CLE,2017,2B,batter,AA
3862,Michael Choice,Michael,Choice,false,CLE,2017,OF,batter,AAA
1015,Christian Bergman,Christian,Bergman,false,COL,2017,RHP,pitcher,AAA
4977,Simon Castro,Simon,Castro,false,COL,2017,RHP,pitcher,AAA
4097,Nelson Gonzalez,Nelson,Gonzalez,false,COL,2017,RHP,pitcher,AAA
2753,Johendi Jiminian,Johendi,Jiminian,false,COL,2017,RHP,pitcher,AAA
5549,Yoely Bello,Yoely,Bello,false,COL,2017,LHP,pitcher,Hi A
810,Carlos Hernandez,Carlos,Hernandez,false,COL,2017,LHP,pitcher,AA
5322,Tyler Matzek,Tyler,Matzek,false,COL,2017,LHP,pitcher,AA
4290,Pat McCoy,Pat,McCoy,false,COL,2017,LHP,pitcher,AAA
2249,Jackson Williams,Jackson,Williams,false,COL,2017,C,batter,AA
469,Ben Paulsen,Ben,Paulsen,false,COL,2017,1B,batter,AAA
886,Cesar Galvez,Cesar,Galvez,false,COL,2017,2B,batter,AAA
4420,Rafael Ynoa,Rafael,Ynoa,false,COL,2017,2B,batter,AAA
991,Chris Nelson,Chris,Nelson,false,COL,2017,3B,batter,AAA
2499,Jeff Bianchi,Jeff,Bianchi,false,COL,2017,SS,batter,AAA
5480,Wilson Soriano,Wilson,Soriano,false,COL,2017,SS,batter,AA
2739,Joey Wong,Joey,Wong,false,COL,2017,SS,batter,AAA
150,Alex Castellanos,Alex,Castellanos,false,COL,2017,OF,batter,AA
4671,Rosell Herrera,Rosell,Herrera,false,COL,2017,OF,batter,AA
5568,Yordy Cabrera,Yordy,Cabrera,false,DET,2017,RHP,pitcher,Hi A
1640,Edgar de la Rosa,Edgar,de la Rosa,false,DET,2017,RHP,pitcher,Hi A
4384,Preston Guilmet,Preston,Guilmet,false,DET,2017,RHP,pitcher,AAA
1381,David Martinez,David,Martinez,false,DET,2017,RHP,pitcher,AA
1586,Dustin Molleken,Dustin,Molleken,false,DET,2017,RHP,pitcher,AAA
5100,Thad Weber,Thad,Weber,false,DET,2017,RHP,pitcher,AA
1533,Drake Britton,Drake,Britton,false,DET,2017,LHP,pitcher,AAA
890,Cesar Ramos,Cesar,Ramos,false,DET,2017,LHP,pitcher,AAA
5183,Tommy Shirley,Tommy,Shirley,false,DET,2017,LHP,pitcher,AA
903,Chad Huffman,Chad,Huffman,false,DET,2017,1B,batter,AAA
5283,Tyler Bortnick,Tyler,Bortnick,false,DET,2017,2B,batter,Hi A
1154,Corey Jones,Corey,Jones,false,DET,2017,2B,batter,AA
2890,Jordany Valdespin,Jordany,Valdespin,false,DET,2017,2B,batter,AAA
4330,Pedro Ciriaco,Pedro,Ciriaco,false,DET,2017,SS,batter,AAA
5496,Wynton Bernard,Wynton,Bernard,false,DET,2017,OF,batter,AA
154,Alex Fernandez Jr.,Alex,Fernandez Jr.,true,DET,2017,OF,batter,R
893,Cesar Valdez,Cesar,Valdez,false,HOU,2017,RHP,pitcher,AAA
1820,Eury de la Rosa,Eury,de la Rosa,false,HOU,2017,LHP,pitcher,AAA
1823,Evan Grills,Evan,Grills,false,HOU,2017,LHP,pitcher,AAA
4609,Roberto Pena,Roberto,Pena,false,HOU,2017,C,batter,AA
