player_name,team,fa_class,position,minor_league_level,internal_id,first_name_lower,last_name_lower,normed_position
Orangel Arenas,Los Angeles Angels,2013,RHP,Hi A,1291,orangel,arenas,pitcher
Lay Batista,Los Angeles Angels,2013,RHP,AA,1034,lay,batista,pitcher
Fernando Cabrera,Los Angeles Angels,2013,RHP,AAA,568,fernando,cabrera,pitcher
Chad Cordero,Los Angeles Angels,2013,RHP,AAA,294,chad,cordero,pitcher
Manuarys Correa,Los Angeles Angels,2013,RHP,AA,1093,manuarys,correa,pitcher
Rob Delaney,Los Angeles Angels,2013,RHP,AAA,1396,rob,delaney,pitcher
Barry Enright,Los Angeles Angels,2013,RHP,AAA,134,barry,enright,pitcher
Brandon Hynick,Los Angeles Angels,2013,RHP,AA,182,brandon,hynick,pitcher
Josh Judy,Los Angeles Angels,2013,RHP,AA,913,josh,judy,pitcher
Jason Urquidez,Los Angeles Angels,2013,RHP,AAA,722,jason,urquidez,pitcher
Dustin Richardson,Los Angeles Angels,2013,LHP,AAA,487,dustin,richardson,pitcher
Dontrelle Willis,Los Angeles Angels,2013,LHP,AAA,467,dontrelle,willis,pitcher
Luke Carlin,Los Angeles Angels,2013,C,AAA,1082,luke,carlin,batter
Luis Rodriguez,Los Angeles Angels,2013,2B,AAA,1078,luis,rodriguez,batter
Rusty Ryal,Los Angeles Angels,2013,2B,AAA,1437,rusty,ryal,batter
Andy Marte,Los Angeles Angels,2013,3B,AAA,83,andy,marte,batter
Jimmy Swift,Los Angeles Angels,2013,SS,AA,796,jimmy,swift,batter
Julio Concepcion,Los Angeles Angels,2013,OF,Lo A,956,julio,concepcion,batter
Cyle Hankerd,Los Angeles Angels,2013,OF,AA,377,cyle,hankerd,batter
Lou Montanez,Los Angeles Angels,2013,OF,AA,1054,lou,montanez,batter
Trent Oeltjen,Los Angeles Angels,2013,OF,AAA,1604,trent,oeltjen,batter
Robbie Widlansky,Los Angeles Angels,2013,OF,AA,1401,robbie,widlansky,batter
Juan Abreu*,Los Angeles Dodgers,2013,RHP,AAA,929,juan,abreu,pitcher
Angel Castro,Los Angeles Dodgers,2013,RHP,AAA,87,angel,castro,pitcher
Kyle Cofield,Los Angeles Dodgers,2013,RHP,AAA,1012,kyle,cofield,pitcher
Blake Johnson,Los Angeles Dodgers,2013,RHP,AAA,153,blake,johnson,pitcher
Anthony Ortega,Los Angeles Dodgers,2013,RHP,AAA,103,anthony,ortega,pitcher
Matt Palmer,Los Angeles Dodgers,2013,RHP,AAA,1148,matt,palmer,pitcher
Mario Santiago*,Los Angeles Dodgers,2013,RHP,AAA,1110,mario,santiago,pitcher
Daniel Tamares,Los Angeles Dodgers,2013,RHP,Lo A,407,daniel,tamares,pitcher
Luis Vasquez,Los Angeles Dodgers,2013,RHP,AAA,1081,luis,vasquez,pitcher
Sean White,Los Angeles Dodgers,2013,RHP,AAA,1501,sean,white,pitcher
Kelvin de la Cruz,Los Angeles Dodgers,2013,LHP,AAA,987,kelvin,de la cruz,pitcher
Thomas Melgarejo,Los Angeles Dodgers,2013,LHP,AA,1558,thomas,melgarejo,pitcher
Jonathan Sanchez,Los Angeles Dodgers,2013,LHP,AAA,853,jonathan,sanchez,pitcher
Eliezer Alfonzo,Los Angeles Dodgers,2013,C,AAA,526,eliezer,alfonzo,batter
Damaso Espino,Los Angeles Dodgers,2013,C,AAA,384,damaso,espino,batter
J.R. Towles,Los Angeles Dodgers,2013,C,AAA,663,j.r.,towles,batter
Matt Wallach,Los Angeles Dodgers,2013,C,AA,1156,matt,wallach,batter
Sean Burroughs,Los Angeles Dodgers,2013,1B,AAA,1494,sean,burroughs,batter
Rafael Ynoa,Los Angeles Dodgers,2013,2B,AA,1347,rafael,ynoa,batter
Brian Barden,Los Angeles Dodgers,2013,3B,AAA,205,brian,barden,batter
Pedro Guerrero,Los Angeles Dodgers,2013,3B,AA,1318,pedro,guerrero,batter
